Column 1,Ellyse Perry (Australia),Nat Sciver-Brunt (England),Meg Lanning (Australia),Alyssa Healy (Australia),Jhulan Goswami (India),Marizanne Kapp (South Africa),Sophie Ecclestone (England),Hayley Matthews (West Indies),Smriti Mandhana (India),Chamari Athapaththu (Sri Lanka),Mithali Raj (India),Deandra Dottin (West Indies),Ashleigh Gardner (Australia),Harmanpreet Kaur (India),Shabnim Ismail (South Africa)
Ellyse Perry (Australia),0,,0,0,,,,,,0,,,0,,
Nat Sciver-Brunt (England),,0,,,,,0,,,,,,,,
Meg Lanning (Australia),0,,0,0,,,,,,0,,,0,,
Alyssa Healy (Australia),0,,0,0,,,,,,0,,,0,,
Jhulan Goswami (India),,,,,0,,,,0,,0,,,0,
Marizanne Kapp (South Africa),,,,,,0,,0,,,,,,,0
Sophie Ecclestone (England),,0,,,,,0,,,,,,,,
Hayley Matthews (West Indies),,,,,,0,,0,,,,0,,,0
Smriti Mandhana (India),,,,,0,,,,0,,0,,,0,
Chamari Athapaththu (Sri Lanka),0,,0,0,,,,,,,,,0,,
Mithali Raj (India),,,,,0,,,,0,,0,,,0,
Deandra Dottin (West Indies),,,,,,0,,0,,,,0,,,0
Ashleigh Gardner (Australia),0,,0,0,,,,,,0,,,0,,
Harmanpreet Kaur (India),,,,,0,,,,0,,0,,,0,
Shabnim Ismail (South Africa),,,,,,0,,0,,,,,,,0
